,Material_ID,C,Mn,Si,Cr,Ni,Mo,V,N,Nb,Co,W,Al,Ti,Heat treatment/C,YS/MPa,UTS/MPa,Elong/%
724,725,0.01,0.01,0.01,0.01,15.1,5.1,0.01,0.0,0.01,15.3,0.0,0.03,0.2,815,1269.8,1371.1,14.0
725,726,0.01,0.01,0.01,0.01,15.1,5.1,0.01,0.0,0.01,15.3,0.0,0.03,0.2,815,1424.9,1548.2,15.0
726,727,0.01,0.01,0.01,0.01,15.1,5.1,0.01,0.0,0.01,15.3,0.0,0.03,0.2,815,1119.6,,18.0
727,728,0.01,0.01,0.01,0.01,15.1,5.1,0.01,0.0,0.01,15.3,0.0,0.03,0.2,815,1719.1,1774.9,13.0
728,729,0.01,0.01,0.01,0.01,15.0,6.02,0.01,0.0,0.01,14.8,0.0,0.03,0.62,815,2244.1,2319.9,4.0
729,730,0.01,0.01,0.01,0.01,15.0,6.02,0.01,0.0,0.01,14.8,0.0,0.03,0.62,815,,,8.0
730,731,0.01,0.01,0.01,0.01,15.0,6.02,0.01,0.0,0.01,14.8,0.0,0.03,0.62,815,1510.3,1661.2,11.0
732,733,0.01,0.01,0.01,0.01,15.0,6.02,0.01,0.0,0.01,14.8,0.0,0.03,0.62,815,1018.3,,19.0
733,734,0.1,3.0,0.3,17.0,4.2,0.02,0.01,0.0,0.01,0.01,0.0,0.03,0.0,925,1130.4,1350.6,30.5
734,735,0.09,2.8,0.32,17.48,4.44,0.02,0.01,0.0,0.01,0.01,0.0,0.9,0.0,950,1259.7,1444.5,12.8
736,737,0.09,2.8,0.32,17.48,4.44,0.02,0.01,0.0,0.01,0.01,0.0,0.9,0.0,1050,1313.6,1404.5,
737,738,0.09,2.16,0.18,16.92,4.26,1.04,0.01,0.0,0.01,0.01,0.0,0.03,0.0,950,1028.7,1315.2,18.0
738,739,0.14,3.0,0.24,15.69,4.14,0.02,0.01,0.0,0.01,0.01,0.0,0.03,0.0,925,1201.2,1441.4,19.0
739,740,0.14,3.0,0.24,15.69,4.14,0.02,0.01,0.0,0.01,0.01,0.0,0.03,0.0,950,1105.7,1278.2,15.3
740,741,0.09,0.5,0.28,17.12,4.18,2.02,0.01,0.0,0.01,2.02,0.0,0.03,0.0,1050,1150.4,1336.7,22.5
742,743,0.06,2.09,0.32,16.42,5.14,1.51,0.01,0.0,0.01,2.03,0.0,0.88,0.0,950,1241.2,1510.7,21.0
744,745,0.06,2.09,0.32,16.42,5.14,1.51,0.01,0.0,0.01,2.03,0.0,0.88,0.0,1050,1284.4,1395.2,1.9
745,746,0.06,2.09,0.32,16.42,5.14,1.51,0.01,0.0,0.01,2.03,0.0,0.88,0.0,1050,,,2.9
746,747,0.06,2.09,0.32,16.42,5.14,1.51,0.01,0.0,0.01,2.03,0.0,0.88,0.0,1050,1349.0,1487.6,3.6
747,748,0.06,2.09,0.32,16.42,5.14,1.51,0.01,0.0,0.01,2.03,0.0,0.88,0.0,1050,1299.8,1386.0,7.9
748,749,0.06,2.09,0.32,16.42,5.14,1.51,0.01,0.0,0.01,2.03,0.0,0.88,0.0,1050,1327.5,1421.4,1.2
749,750,0.06,2.09,0.32,16.42,5.14,1.51,0.01,0.0,0.01,2.03,0.0,0.88,0.0,1050,1248.9,,15.3
750,751,0.06,2.09,0.32,16.42,5.14,1.51,0.01,0.0,0.01,2.03,0.0,0.88,0.0,1050,1068.8,1171.9,18.2
752,753,0.13,1.0,0.25,15.5,4.2,2.75,0.01,0.1,0.01,0.01,0.0,0.03,0.0,950,1247.4,1478.4,18.0
753,754,0.13,1.0,0.25,15.5,4.2,2.75,0.01,0.1,0.01,0.01,0.0,0.03,0.0,950,1062.6,1339.8,10.0
754,755,0.03,0.6,0.3,14.5,8.5,2.5,0.01,0.0,0.01,0.01,0.0,1.2,0.0,930,1478.4,1617.0,5.0
755,756,0.07,0.6,0.3,15.0,7.0,2.25,0.01,0.0,0.01,0.01,0.0,1.2,0.0,950,1540.0,1663.2,6.0
756,757,0.07,0.6,0.3,15.0,7.0,2.25,0.01,0.0,0.01,0.01,0.0,1.2,0.0,1050,1386.0,1447.6,7.0
757,758,0.07,0.6,0.3,17.0,7.0,0.02,0.01,0.0,0.01,0.01,0.0,1.2,0.0,1040,1386.0,1478.4,9.0
758,759,0.07,0.6,0.3,17.0,7.0,0.02,0.01,0.0,0.01,0.01,0.0,1.2,0.0,1040,1339.8,1416.8,9.0
760,761,0.01,0.06,0.08,4.72,10.1,3.13,0.01,0.0,0.01,0.01,0.0,0.25,0.23,816,1172.0,1198.2,16.0
761,762,0.02,0.07,0.1,4.83,10.2,3.2,0.01,0.0,0.01,0.01,0.0,0.52,0.24,816,1304.3,1338.7,14.0
762,763,0.02,0.07,0.11,4.7,10.2,3.1,0.01,0.0,0.01,0.01,0.0,0.7,0.22,816,1420.0,1455.9,12.0
764,765,0.01,0.08,0.12,8.9,8.35,3.25,0.01,0.0,0.01,0.01,0.0,0.25,0.2,816,1169.2,1181.6,18.0
765,766,0.01,0.08,0.12,9.0,8.5,3.25,0.01,0.0,0.01,0.01,0.0,0.9,0.23,816,1462.7,1533.0,12.0
767,768,0.01,0.06,0.05,7.8,10.2,3.2,0.01,0.0,0.01,0.01,0.0,0.06,0.1,816,1036.9,1054.9,19.0
768,769,0.0,0.07,0.08,7.5,10.5,3.3,0.01,0.0,0.01,0.01,0.0,0.21,0.23,816,,1279.5,
770,771,0.01,0.05,0.1,7.7,10.4,3.07,0.01,0.0,0.01,0.01,0.0,0.67,0.2,816,1475.8,1529.6,16.0
771,772,0.02,0.06,0.08,7.4,10.3,3.25,0.01,0.0,0.01,0.01,0.0,0.91,0.23,816,1555.8,1598.5,12.0
772,773,0.01,0.07,0.1,7.7,12.0,3.02,0.01,0.0,0.01,0.01,0.0,0.08,0.06,816,1010.8,1041.1,19.0
773,774,0.03,0.05,0.11,7.5,12.1,3.05,0.01,0.0,0.01,0.01,0.0,0.25,0.2,816,1218.8,1260.2,18.0
774,775,0.01,0.05,0.09,7.65,12.2,3.05,0.01,0.0,0.01,0.01,0.0,0.46,0.2,816,1414.5,1465.5,15.0
776,777,0.01,0.08,0.05,9.4,10.7,3.2,0.01,0.0,0.01,0.01,0.0,0.27,0.22,816,1267.8,1285.0,15.0
777,778,0.01,0.01,0.01,10.5,10.3,3.1,0.01,0.0,0.01,0.01,0.0,0.36,0.11,816,1091.4,1140.3,22.0
778,779,0.0,0.07,0.1,10.4,10.4,2.2,0.01,0.0,0.01,0.01,0.0,0.25,0.24,816,1236.1,1249.2,15.0
781,782,0.01,0.05,0.02,10.6,10.6,2.06,0.01,0.0,0.01,0.01,0.0,0.36,0.08,816,1194.0,1235.4,17.0
782,783,0.01,0.12,0.06,10.3,10.2,2.05,0.01,0.0,0.01,0.01,0.0,0.31,0.21,816,1258.8,1289.1,15.0
783,784,0.0,0.05,0.02,10.3,10.2,2.06,0.01,0.0,0.01,0.01,0.0,0.35,0.17,816,1243.0,1292.6,16.0
784,785,0.0,0.05,0.02,10.4,10.0,2.05,0.01,0.0,0.01,0.01,0.0,0.35,0.31,816,,1344.2,16.0
785,786,0.0,0.12,0.08,10.4,9.2,1.97,0.01,0.0,0.01,0.01,0.0,0.26,0.21,816,1207.8,1223.7,16.0
786,787,0.0,0.05,0.02,11.2,9.9,2.05,0.01,0.0,0.01,0.01,0.0,0.13,0.3,816,1172.0,1213.3,18.0
787,788,0.0,0.12,0.07,9.9,10.5,2.1,0.01,0.0,0.01,0.01,0.0,0.23,0.22,816,1174.7,1216.8,17.0
788,789,0.0,0.12,0.07,9.9,10.5,2.1,0.01,0.0,0.01,0.01,0.0,0.23,0.22,927,1126.5,1188.5,17.0
791,792,0.0,0.11,0.3,10.2,10.4,2.05,0.01,0.0,0.01,0.01,0.0,0.2,0.22,816,1198.2,1240.2,17.0
792,793,0.0,0.11,0.3,10.2,10.4,2.05,0.01,0.0,0.01,0.01,0.0,0.2,0.22,927,1149.3,1223.7,19.0
793,794,0.0,0.1,0.41,10.2,10.4,2.0,0.01,0.0,0.01,0.01,0.0,0.25,0.23,816,1243.0,1289.8,18.0
795,796,0.01,0.12,0.06,10.3,10.2,2.05,0.01,0.0,0.01,0.01,0.0,0.31,0.21,816,1258.8,1289.1,15.0
796,797,0.02,0.24,0.1,10.2,10.3,1.94,0.01,0.0,0.01,0.01,0.0,0.24,0.23,816,1195.4,1220.9,
797,798,0.02,0.24,0.1,10.2,10.3,1.94,0.01,0.0,0.01,0.01,0.0,0.24,0.23,927,1138.9,1194.7,17.0
798,799,0.0,0.36,0.08,10.2,10.3,2.02,0.01,0.0,0.01,0.01,0.0,0.3,0.23,816,1189.9,1234.0,18.0
799,800,0.0,0.36,0.08,10.2,10.3,2.02,0.01,0.0,0.01,0.01,0.0,0.3,0.23,927,1167.9,1234.7,
800,801,0.0,0.44,0.08,10.1,10.3,2.0,0.01,0.0,0.01,0.01,0.0,0.3,0.22,816,1188.5,1230.6,
801,802,0.0,0.44,0.08,10.1,10.3,2.0,0.01,0.0,0.01,0.01,0.0,0.3,0.22,927,1137.5,1208.5,18.0
802,803,0.02,0.48,0.1,10.0,10.0,1.92,0.01,0.0,0.01,0.01,0.0,0.29,0.21,816,1222.3,,16.0
803,804,0.02,0.48,0.1,10.0,10.0,1.92,0.01,0.0,0.01,0.01,0.0,0.29,0.21,927,1154.8,1228.5,17.0
804,805,0.02,0.74,0.1,10.2,10.2,1.98,0.01,0.0,0.01,0.01,0.0,0.3,0.22,816,1149.9,1188.5,17.0
805,806,0.02,0.74,0.1,10.2,10.2,1.98,0.01,0.0,0.01,0.01,0.0,0.3,0.22,927,1141.7,1203.7,19.0
806,807,0.01,0.12,0.08,9.8,10.0,1.7,0.01,0.0,0.01,0.01,0.0,0.2,0.19,760,1150.6,1156.1,15.0
808,809,0.01,0.12,0.08,9.8,10.0,1.7,0.01,0.0,0.01,0.01,0.0,0.2,0.19,816,1083.8,1108.6,16.0
810,811,0.01,0.12,0.08,9.8,10.0,1.7,0.01,0.0,0.01,0.01,0.0,0.2,0.19,982,1105.8,1169.2,15.0
811,812,0.01,0.12,0.08,9.8,10.0,1.7,0.01,0.0,0.01,0.01,0.0,0.2,0.19,927,1035.6,1097.6,14.0
812,813,0.01,0.12,0.08,9.8,10.0,1.7,0.01,0.0,0.01,0.01,0.0,0.2,0.19,982,1081.7,1147.9,16.0
813,814,0.01,0.03,0.03,10.2,10.5,2.2,0.01,0.0,0.01,0.01,0.0,0.23,0.24,760,1340.8,1353.2,13.0
815,816,0.01,0.07,0.11,11.3,10.3,2.05,0.01,0.0,0.01,0.01,0.0,0.24,0.23,816,1107.9,1147.2,18.0
816,817,0.02,0.06,0.13,10.4,9.9,2.15,0.01,0.0,0.01,0.01,0.0,0.09,0.13,816,1005.9,1033.5,21.0
817,818,0.27,0.27,0.01,0.41,8.28,0.49,0.07,0.0,0.01,3.9,0.0,0.03,0.0,871,1274.7,1357.3,15.0
819,820,0.27,0.27,0.01,0.41,8.28,0.49,0.07,0.0,0.01,3.9,0.0,0.03,0.0,871,1267.8,1350.4,15.5
820,821,0.27,0.27,0.01,0.41,8.28,0.49,0.07,0.0,0.01,3.9,0.0,0.03,0.0,871,1267.8,1350.4,15.0
821,822,0.27,0.27,0.01,0.41,8.28,0.49,0.07,0.0,0.01,3.9,0.0,0.03,0.0,871,1267.8,1357.3,16.0
823,824,0.27,0.27,0.01,0.41,8.28,0.49,0.07,0.0,0.01,3.9,0.0,0.03,0.0,871,1012.8,1136.9,15.0
824,825,0.27,0.27,0.01,0.41,8.28,0.49,0.07,0.0,0.01,3.9,0.0,0.03,0.0,871,,,15.3
825,826,0.27,0.27,0.01,0.41,8.28,0.49,0.07,0.0,0.01,3.9,0.0,0.03,0.0,871,1012.8,1136.9,15.0
826,827,0.27,0.27,0.01,0.41,8.28,0.49,0.07,0.0,0.01,3.9,0.0,0.03,0.0,871,1123.1,1260.9,16.0
827,828,0.27,0.27,0.01,0.41,8.28,0.49,0.07,0.0,0.01,3.9,0.0,0.03,0.0,871,1116.2,1254.0,15.5
830,831,0.27,0.27,0.01,0.41,8.28,0.49,0.07,0.0,0.01,3.9,0.0,0.03,0.0,871,1116.2,1260.9,16.0
832,833,0.27,0.27,0.01,0.41,8.28,0.49,0.07,0.0,0.01,3.9,0.0,0.03,0.0,871,1005.9,1136.9,15.0
833,834,0.27,0.27,0.01,0.41,8.28,0.49,0.07,0.0,0.01,3.9,0.0,0.03,0.0,871,,1254.0,16.0
834,835,0.0,0.01,0.01,10.97,7.99,4.98,0.01,0.0,0.01,8.51,0.0,1.19,0.02,927,1853.4,1970.5,12.0
835,836,0.0,0.01,0.01,10.97,7.99,4.98,0.01,0.0,0.01,8.51,0.0,1.19,0.02,927,1839.6,,
836,837,0.0,0.01,0.01,10.97,7.99,4.98,0.01,0.0,0.01,8.51,0.0,1.19,0.02,927,1846.5,1970.5,12.0
837,838,0.0,0.01,0.01,10.97,7.99,4.98,0.01,0.0,0.01,8.51,0.0,1.19,0.02,927,,1908.5,14.0
838,839,0.01,0.01,0.01,10.96,7.97,5.0,0.01,0.0,0.01,8.55,0.0,1.21,0.01,927,1812.1,1929.2,12.0
839,840,0.01,0.01,0.01,10.96,7.97,5.0,0.01,0.0,0.01,8.55,0.0,1.21,0.01,927,1839.6,1977.4,10.0
841,842,0.01,0.01,0.01,11.14,8.01,4.99,0.01,0.0,0.01,8.62,0.0,1.22,0.01,927,1887.9,1991.2,10.0
